波形,新设备-ch1
起始时间,7/14/2023  16:39:02.645496
Δt,0.000977
,
新设备-ch1,
3.44E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.22E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.98E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.44E-01,
3.26E-01,
3.26E-01,
-6.95E+01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.77E-01,
3.26E-01,
3.26E-01,
3.26E-01,
5.89E+01,
3.26E-01,
3.26E-01,
3.44E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.19E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.71E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.47E-01,
3.44E-01,
3.35E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.28E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.52E-01,
3.47E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.07E-01,
3.26E-01,
3.26E-01,
3.01E-01,
3.26E-01,
3.44E-01,
3.26E-01,
3.26E-01,
3.44E-01,
3.26E-01,
3.26E-01,
1.61E+00,
-7.88E+01,
3.26E-01,
3.26E-01,
3.26E-01,
1.88E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.58E-01,
3.26E-01,
3.26E-01,
3.26E-01,
-7.88E+01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.44E-01,
3.26E-01,
3.26E-01,
-7.87E+01,
3.26E-01,
3.26E-01,
3.26E-01,
2.46E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.44E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.98E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.44E-01,
3.26E-01,
2.98E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.89E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
6.46E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.32E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.83E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.32E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.47E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.56E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.89E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.04E-01,
2.86E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.07E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.32E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
2.34E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
3.26E-01,
